number_features,number_deficient_repair_samples_per_feature,total_number_wildtype_samples,mutrate_fully_unrepaired_bins,mutrate_fully_repaired_bins
2,1,25,0.0000001,0.0000000001
2,1,25,0.0000001,0.0000000010
2,1,25,0.0000001,0.0000000100
2,1,25,0.0000001,0.0000001000
2,1,25,0.0000010,0.0000000001
2,1,25,0.0000010,0.0000000010
2,1,25,0.0000010,0.0000000100
2,1,25,0.0000010,0.0000001000
2,1,25,0.0000100,0.0000000001
2,1,25,0.0000100,0.0000000010
2,1,25,0.0000100,0.0000000100
2,1,25,0.0000100,0.0000001000
2,1,25,0.0001000,0.0000000001
2,1,25,0.0001000,0.0000000010
2,1,25,0.0001000,0.0000000100
2,1,25,0.0001000,0.0000001000
2,1,50,0.0000001,0.0000000001
2,1,50,0.0000001,0.0000000010
2,1,50,0.0000001,0.0000000100
2,1,50,0.0000001,0.0000001000
2,1,50,0.0000010,0.0000000001
2,1,50,0.0000010,0.0000000010
2,1,50,0.0000010,0.0000000100
2,1,50,0.0000010,0.0000001000
2,1,50,0.0000100,0.0000000001
2,1,50,0.0000100,0.0000000010
2,1,50,0.0000100,0.0000000100
2,1,50,0.0000100,0.0000001000
2,1,50,0.0001000,0.0000000001
2,1,50,0.0001000,0.0000000010
2,1,50,0.0001000,0.0000000100
2,1,50,0.0001000,0.0000001000
2,1,100,0.0000001,0.0000000001
2,1,100,0.0000001,0.0000000010
2,1,100,0.0000001,0.0000000100
2,1,100,0.0000001,0.0000001000
2,1,100,0.0000010,0.0000000001
2,1,100,0.0000010,0.0000000010
2,1,100,0.0000010,0.0000000100
2,1,100,0.0000010,0.0000001000
2,1,100,0.0000100,0.0000000001
2,1,100,0.0000100,0.0000000010
2,1,100,0.0000100,0.0000000100
2,1,100,0.0000100,0.0000001000
2,1,100,0.0001000,0.0000000001
2,1,100,0.0001000,0.0000000010
2,1,100,0.0001000,0.0000000100
2,1,100,0.0001000,0.0000001000
2,1,200,0.0000001,0.0000000001
2,1,200,0.0000001,0.0000000010
2,1,200,0.0000001,0.0000000100
2,1,200,0.0000001,0.0000001000
2,1,200,0.0000010,0.0000000001
2,1,200,0.0000010,0.0000000010
2,1,200,0.0000010,0.0000000100
2,1,200,0.0000010,0.0000001000
2,1,200,0.0000100,0.0000000001
2,1,200,0.0000100,0.0000000010
2,1,200,0.0000100,0.0000000100
2,1,200,0.0000100,0.0000001000
2,1,200,0.0001000,0.0000000001
2,1,200,0.0001000,0.0000000010
2,1,200,0.0001000,0.0000000100
2,1,200,0.0001000,0.0000001000
2,5,25,0.0000001,0.0000000001
2,5,25,0.0000001,0.0000000010
2,5,25,0.0000001,0.0000000100
2,5,25,0.0000001,0.0000001000
2,5,25,0.0000010,0.0000000001
2,5,25,0.0000010,0.0000000010
2,5,25,0.0000010,0.0000000100
2,5,25,0.0000010,0.0000001000
2,5,25,0.0000100,0.0000000001
2,5,25,0.0000100,0.0000000010
2,5,25,0.0000100,0.0000000100
2,5,25,0.0000100,0.0000001000
2,5,25,0.0001000,0.0000000001
2,5,25,0.0001000,0.0000000010
2,5,25,0.0001000,0.0000000100
2,5,25,0.0001000,0.0000001000
2,5,50,0.0000001,0.0000000001
2,5,50,0.0000001,0.0000000010
2,5,50,0.0000001,0.0000000100
2,5,50,0.0000001,0.0000001000
2,5,50,0.0000010,0.0000000001
2,5,50,0.0000010,0.0000000010
2,5,50,0.0000010,0.0000000100
2,5,50,0.0000010,0.0000001000
2,5,50,0.0000100,0.0000000001
2,5,50,0.0000100,0.0000000010
2,5,50,0.0000100,0.0000000100
2,5,50,0.0000100,0.0000001000
2,5,50,0.0001000,0.0000000001
2,5,50,0.0001000,0.0000000010
2,5,50,0.0001000,0.0000000100
2,5,50,0.0001000,0.0000001000
2,5,100,0.0000001,0.0000000001
2,5,100,0.0000001,0.0000000010
2,5,100,0.0000001,0.0000000100
2,5,100,0.0000001,0.0000001000
2,5,100,0.0000010,0.0000000001
2,5,100,0.0000010,0.0000000010
2,5,100,0.0000010,0.0000000100
2,5,100,0.0000010,0.0000001000
2,5,100,0.0000100,0.0000000001
2,5,100,0.0000100,0.0000000010
2,5,100,0.0000100,0.0000000100
2,5,100,0.0000100,0.0000001000
2,5,100,0.0001000,0.0000000001
2,5,100,0.0001000,0.0000000010
2,5,100,0.0001000,0.0000000100
2,5,100,0.0001000,0.0000001000
2,5,200,0.0000001,0.0000000001
2,5,200,0.0000001,0.0000000010
2,5,200,0.0000001,0.0000000100
2,5,200,0.0000001,0.0000001000
2,5,200,0.0000010,0.0000000001
2,5,200,0.0000010,0.0000000010
2,5,200,0.0000010,0.0000000100
2,5,200,0.0000010,0.0000001000
2,5,200,0.0000100,0.0000000001
2,5,200,0.0000100,0.0000000010
2,5,200,0.0000100,0.0000000100
2,5,200,0.0000100,0.0000001000
2,5,200,0.0001000,0.0000000001
2,5,200,0.0001000,0.0000000010
2,5,200,0.0001000,0.0000000100
2,5,200,0.0001000,0.0000001000
2,10,25,0.0000001,0.0000000001
2,10,25,0.0000001,0.0000000010
2,10,25,0.0000001,0.0000000100
2,10,25,0.0000001,0.0000001000
2,10,25,0.0000010,0.0000000001
2,10,25,0.0000010,0.0000000010
2,10,25,0.0000010,0.0000000100
2,10,25,0.0000010,0.0000001000
2,10,25,0.0000100,0.0000000001
2,10,25,0.0000100,0.0000000010
2,10,25,0.0000100,0.0000000100
2,10,25,0.0000100,0.0000001000
2,10,25,0.0001000,0.0000000001
2,10,25,0.0001000,0.0000000010
2,10,25,0.0001000,0.0000000100
2,10,25,0.0001000,0.0000001000
2,10,50,0.0000001,0.0000000001
2,10,50,0.0000001,0.0000000010
2,10,50,0.0000001,0.0000000100
2,10,50,0.0000001,0.0000001000
2,10,50,0.0000010,0.0000000001
2,10,50,0.0000010,0.0000000010
2,10,50,0.0000010,0.0000000100
2,10,50,0.0000010,0.0000001000
2,10,50,0.0000100,0.0000000001
2,10,50,0.0000100,0.0000000010
2,10,50,0.0000100,0.0000000100
2,10,50,0.0000100,0.0000001000
2,10,50,0.0001000,0.0000000001
2,10,50,0.0001000,0.0000000010
2,10,50,0.0001000,0.0000000100
2,10,50,0.0001000,0.0000001000
2,10,100,0.0000001,0.0000000001
2,10,100,0.0000001,0.0000000010
2,10,100,0.0000001,0.0000000100
2,10,100,0.0000001,0.0000001000
2,10,100,0.0000010,0.0000000001
2,10,100,0.0000010,0.0000000010
2,10,100,0.0000010,0.0000000100
2,10,100,0.0000010,0.0000001000
2,10,100,0.0000100,0.0000000001
2,10,100,0.0000100,0.0000000010
2,10,100,0.0000100,0.0000000100
2,10,100,0.0000100,0.0000001000
2,10,100,0.0001000,0.0000000001
2,10,100,0.0001000,0.0000000010
2,10,100,0.0001000,0.0000000100
2,10,100,0.0001000,0.0000001000
2,10,200,0.0000001,0.0000000001
2,10,200,0.0000001,0.0000000010
2,10,200,0.0000001,0.0000000100
2,10,200,0.0000001,0.0000001000
2,10,200,0.0000010,0.0000000001
2,10,200,0.0000010,0.0000000010
2,10,200,0.0000010,0.0000000100
2,10,200,0.0000010,0.0000001000
2,10,200,0.0000100,0.0000000001
2,10,200,0.0000100,0.0000000010
2,10,200,0.0000100,0.0000000100
2,10,200,0.0000100,0.0000001000
2,10,200,0.0001000,0.0000000001
2,10,200,0.0001000,0.0000000010
2,10,200,0.0001000,0.0000000100
2,10,200,0.0001000,0.0000001000
2,20,25,0.0000001,0.0000000001
2,20,25,0.0000001,0.0000000010
2,20,25,0.0000001,0.0000000100
2,20,25,0.0000001,0.0000001000
2,20,25,0.0000010,0.0000000001
2,20,25,0.0000010,0.0000000010
2,20,25,0.0000010,0.0000000100
2,20,25,0.0000010,0.0000001000
2,20,25,0.0000100,0.0000000001
2,20,25,0.0000100,0.0000000010
2,20,25,0.0000100,0.0000000100
2,20,25,0.0000100,0.0000001000
2,20,25,0.0001000,0.0000000001
2,20,25,0.0001000,0.0000000010
2,20,25,0.0001000,0.0000000100
2,20,25,0.0001000,0.0000001000
2,20,50,0.0000001,0.0000000001
2,20,50,0.0000001,0.0000000010
2,20,50,0.0000001,0.0000000100
2,20,50,0.0000001,0.0000001000
2,20,50,0.0000010,0.0000000001
2,20,50,0.0000010,0.0000000010
2,20,50,0.0000010,0.0000000100
2,20,50,0.0000010,0.0000001000
2,20,50,0.0000100,0.0000000001
2,20,50,0.0000100,0.0000000010
2,20,50,0.0000100,0.0000000100
2,20,50,0.0000100,0.0000001000
2,20,50,0.0001000,0.0000000001
2,20,50,0.0001000,0.0000000010
2,20,50,0.0001000,0.0000000100
2,20,50,0.0001000,0.0000001000
2,20,100,0.0000001,0.0000000001
2,20,100,0.0000001,0.0000000010
2,20,100,0.0000001,0.0000000100
2,20,100,0.0000001,0.0000001000
2,20,100,0.0000010,0.0000000001
2,20,100,0.0000010,0.0000000010
2,20,100,0.0000010,0.0000000100
2,20,100,0.0000010,0.0000001000
2,20,100,0.0000100,0.0000000001
2,20,100,0.0000100,0.0000000010
2,20,100,0.0000100,0.0000000100
2,20,100,0.0000100,0.0000001000
2,20,100,0.0001000,0.0000000001
2,20,100,0.0001000,0.0000000010
2,20,100,0.0001000,0.0000000100
2,20,100,0.0001000,0.0000001000
2,20,200,0.0000001,0.0000000001
2,20,200,0.0000001,0.0000000010
2,20,200,0.0000001,0.0000000100
2,20,200,0.0000001,0.0000001000
2,20,200,0.0000010,0.0000000001
2,20,200,0.0000010,0.0000000010
2,20,200,0.0000010,0.0000000100
2,20,200,0.0000010,0.0000001000
2,20,200,0.0000100,0.0000000001
2,20,200,0.0000100,0.0000000010
2,20,200,0.0000100,0.0000000100
2,20,200,0.0000100,0.0000001000
2,20,200,0.0001000,0.0000000001
2,20,200,0.0001000,0.0000000010
2,20,200,0.0001000,0.0000000100
2,20,200,0.0001000,0.0000001000
4,1,25,0.0000001,0.0000000001
4,1,25,0.0000001,0.0000000010
4,1,25,0.0000001,0.0000000100
4,1,25,0.0000001,0.0000001000
4,1,25,0.0000010,0.0000000001
4,1,25,0.0000010,0.0000000010
4,1,25,0.0000010,0.0000000100
4,1,25,0.0000010,0.0000001000
4,1,25,0.0000100,0.0000000001
4,1,25,0.0000100,0.0000000010
4,1,25,0.0000100,0.0000000100
4,1,25,0.0000100,0.0000001000
4,1,25,0.0001000,0.0000000001
4,1,25,0.0001000,0.0000000010
4,1,25,0.0001000,0.0000000100
4,1,25,0.0001000,0.0000001000
4,1,50,0.0000001,0.0000000001
4,1,50,0.0000001,0.0000000010
4,1,50,0.0000001,0.0000000100
4,1,50,0.0000001,0.0000001000
4,1,50,0.0000010,0.0000000001
4,1,50,0.0000010,0.0000000010
4,1,50,0.0000010,0.0000000100
4,1,50,0.0000010,0.0000001000
4,1,50,0.0000100,0.0000000001
4,1,50,0.0000100,0.0000000010
4,1,50,0.0000100,0.0000000100
4,1,50,0.0000100,0.0000001000
4,1,50,0.0001000,0.0000000001
4,1,50,0.0001000,0.0000000010
4,1,50,0.0001000,0.0000000100
4,1,50,0.0001000,0.0000001000
4,1,100,0.0000001,0.0000000001
4,1,100,0.0000001,0.0000000010
4,1,100,0.0000001,0.0000000100
4,1,100,0.0000001,0.0000001000
4,1,100,0.0000010,0.0000000001
4,1,100,0.0000010,0.0000000010
4,1,100,0.0000010,0.0000000100
4,1,100,0.0000010,0.0000001000
4,1,100,0.0000100,0.0000000001
4,1,100,0.0000100,0.0000000010
4,1,100,0.0000100,0.0000000100
4,1,100,0.0000100,0.0000001000
4,1,100,0.0001000,0.0000000001
4,1,100,0.0001000,0.0000000010
4,1,100,0.0001000,0.0000000100
4,1,100,0.0001000,0.0000001000
4,1,200,0.0000001,0.0000000001
4,1,200,0.0000001,0.0000000010
4,1,200,0.0000001,0.0000000100
4,1,200,0.0000001,0.0000001000
4,1,200,0.0000010,0.0000000001
4,1,200,0.0000010,0.0000000010
4,1,200,0.0000010,0.0000000100
4,1,200,0.0000010,0.0000001000
4,1,200,0.0000100,0.0000000001
4,1,200,0.0000100,0.0000000010
4,1,200,0.0000100,0.0000000100
4,1,200,0.0000100,0.0000001000
4,1,200,0.0001000,0.0000000001
4,1,200,0.0001000,0.0000000010
4,1,200,0.0001000,0.0000000100
4,1,200,0.0001000,0.0000001000
4,5,25,0.0000001,0.0000000001
4,5,25,0.0000001,0.0000000010
4,5,25,0.0000001,0.0000000100
4,5,25,0.0000001,0.0000001000
4,5,25,0.0000010,0.0000000001
4,5,25,0.0000010,0.0000000010
4,5,25,0.0000010,0.0000000100
4,5,25,0.0000010,0.0000001000
4,5,25,0.0000100,0.0000000001
4,5,25,0.0000100,0.0000000010
4,5,25,0.0000100,0.0000000100
4,5,25,0.0000100,0.0000001000
4,5,25,0.0001000,0.0000000001
4,5,25,0.0001000,0.0000000010
4,5,25,0.0001000,0.0000000100
4,5,25,0.0001000,0.0000001000
4,5,50,0.0000001,0.0000000001
4,5,50,0.0000001,0.0000000010
4,5,50,0.0000001,0.0000000100
4,5,50,0.0000001,0.0000001000
4,5,50,0.0000010,0.0000000001
4,5,50,0.0000010,0.0000000010
4,5,50,0.0000010,0.0000000100
4,5,50,0.0000010,0.0000001000
4,5,50,0.0000100,0.0000000001
4,5,50,0.0000100,0.0000000010
4,5,50,0.0000100,0.0000000100
4,5,50,0.0000100,0.0000001000
4,5,50,0.0001000,0.0000000001
4,5,50,0.0001000,0.0000000010
4,5,50,0.0001000,0.0000000100
4,5,50,0.0001000,0.0000001000
4,5,100,0.0000001,0.0000000001
4,5,100,0.0000001,0.0000000010
4,5,100,0.0000001,0.0000000100
4,5,100,0.0000001,0.0000001000
4,5,100,0.0000010,0.0000000001
4,5,100,0.0000010,0.0000000010
4,5,100,0.0000010,0.0000000100
4,5,100,0.0000010,0.0000001000
4,5,100,0.0000100,0.0000000001
4,5,100,0.0000100,0.0000000010
4,5,100,0.0000100,0.0000000100
4,5,100,0.0000100,0.0000001000
4,5,100,0.0001000,0.0000000001
4,5,100,0.0001000,0.0000000010
4,5,100,0.0001000,0.0000000100
4,5,100,0.0001000,0.0000001000
4,5,200,0.0000001,0.0000000001
4,5,200,0.0000001,0.0000000010
4,5,200,0.0000001,0.0000000100
4,5,200,0.0000001,0.0000001000
4,5,200,0.0000010,0.0000000001
4,5,200,0.0000010,0.0000000010
4,5,200,0.0000010,0.0000000100
4,5,200,0.0000010,0.0000001000
4,5,200,0.0000100,0.0000000001
4,5,200,0.0000100,0.0000000010
4,5,200,0.0000100,0.0000000100
4,5,200,0.0000100,0.0000001000
4,5,200,0.0001000,0.0000000001
4,5,200,0.0001000,0.0000000010
4,5,200,0.0001000,0.0000000100
4,5,200,0.0001000,0.0000001000
4,10,25,0.0000001,0.0000000001
4,10,25,0.0000001,0.0000000010
4,10,25,0.0000001,0.0000000100
4,10,25,0.0000001,0.0000001000
4,10,25,0.0000010,0.0000000001
4,10,25,0.0000010,0.0000000010
4,10,25,0.0000010,0.0000000100
4,10,25,0.0000010,0.0000001000
4,10,25,0.0000100,0.0000000001
4,10,25,0.0000100,0.0000000010
4,10,25,0.0000100,0.0000000100
4,10,25,0.0000100,0.0000001000
4,10,25,0.0001000,0.0000000001
4,10,25,0.0001000,0.0000000010
4,10,25,0.0001000,0.0000000100
4,10,25,0.0001000,0.0000001000
4,10,50,0.0000001,0.0000000001
4,10,50,0.0000001,0.0000000010
4,10,50,0.0000001,0.0000000100
4,10,50,0.0000001,0.0000001000
4,10,50,0.0000010,0.0000000001
4,10,50,0.0000010,0.0000000010
4,10,50,0.0000010,0.0000000100
4,10,50,0.0000010,0.0000001000
4,10,50,0.0000100,0.0000000001
4,10,50,0.0000100,0.0000000010
4,10,50,0.0000100,0.0000000100
4,10,50,0.0000100,0.0000001000
4,10,50,0.0001000,0.0000000001
4,10,50,0.0001000,0.0000000010
4,10,50,0.0001000,0.0000000100
4,10,50,0.0001000,0.0000001000
4,10,100,0.0000001,0.0000000001
4,10,100,0.0000001,0.0000000010
4,10,100,0.0000001,0.0000000100
4,10,100,0.0000001,0.0000001000
4,10,100,0.0000010,0.0000000001
4,10,100,0.0000010,0.0000000010
4,10,100,0.0000010,0.0000000100
4,10,100,0.0000010,0.0000001000
4,10,100,0.0000100,0.0000000001
4,10,100,0.0000100,0.0000000010
4,10,100,0.0000100,0.0000000100
4,10,100,0.0000100,0.0000001000
4,10,100,0.0001000,0.0000000001
4,10,100,0.0001000,0.0000000010
4,10,100,0.0001000,0.0000000100
4,10,100,0.0001000,0.0000001000
4,10,200,0.0000001,0.0000000001
4,10,200,0.0000001,0.0000000010
4,10,200,0.0000001,0.0000000100
4,10,200,0.0000001,0.0000001000
4,10,200,0.0000010,0.0000000001
4,10,200,0.0000010,0.0000000010
4,10,200,0.0000010,0.0000000100
4,10,200,0.0000010,0.0000001000
4,10,200,0.0000100,0.0000000001
4,10,200,0.0000100,0.0000000010
4,10,200,0.0000100,0.0000000100
4,10,200,0.0000100,0.0000001000
4,10,200,0.0001000,0.0000000001
4,10,200,0.0001000,0.0000000010
4,10,200,0.0001000,0.0000000100
4,10,200,0.0001000,0.0000001000
4,20,25,0.0000001,0.0000000001
4,20,25,0.0000001,0.0000000010
4,20,25,0.0000001,0.0000000100
4,20,25,0.0000001,0.0000001000
4,20,25,0.0000010,0.0000000001
4,20,25,0.0000010,0.0000000010
4,20,25,0.0000010,0.0000000100
4,20,25,0.0000010,0.0000001000
4,20,25,0.0000100,0.0000000001
4,20,25,0.0000100,0.0000000010
4,20,25,0.0000100,0.0000000100
4,20,25,0.0000100,0.0000001000
4,20,25,0.0001000,0.0000000001
4,20,25,0.0001000,0.0000000010
4,20,25,0.0001000,0.0000000100
4,20,25,0.0001000,0.0000001000
4,20,50,0.0000001,0.0000000001
4,20,50,0.0000001,0.0000000010
4,20,50,0.0000001,0.0000000100
4,20,50,0.0000001,0.0000001000
4,20,50,0.0000010,0.0000000001
4,20,50,0.0000010,0.0000000010
4,20,50,0.0000010,0.0000000100
4,20,50,0.0000010,0.0000001000
4,20,50,0.0000100,0.0000000001
4,20,50,0.0000100,0.0000000010
4,20,50,0.0000100,0.0000000100
4,20,50,0.0000100,0.0000001000
4,20,50,0.0001000,0.0000000001
4,20,50,0.0001000,0.0000000010
4,20,50,0.0001000,0.0000000100
4,20,50,0.0001000,0.0000001000
4,20,100,0.0000001,0.0000000001
4,20,100,0.0000001,0.0000000010
4,20,100,0.0000001,0.0000000100
4,20,100,0.0000001,0.0000001000
4,20,100,0.0000010,0.0000000001
4,20,100,0.0000010,0.0000000010
4,20,100,0.0000010,0.0000000100
4,20,100,0.0000010,0.0000001000
4,20,100,0.0000100,0.0000000001
4,20,100,0.0000100,0.0000000010
4,20,100,0.0000100,0.0000000100
4,20,100,0.0000100,0.0000001000
4,20,100,0.0001000,0.0000000001
4,20,100,0.0001000,0.0000000010
4,20,100,0.0001000,0.0000000100
4,20,100,0.0001000,0.0000001000
4,20,200,0.0000001,0.0000000001
4,20,200,0.0000001,0.0000000010
4,20,200,0.0000001,0.0000000100
4,20,200,0.0000001,0.0000001000
4,20,200,0.0000010,0.0000000001
4,20,200,0.0000010,0.0000000010
4,20,200,0.0000010,0.0000000100
4,20,200,0.0000010,0.0000001000
4,20,200,0.0000100,0.0000000001
4,20,200,0.0000100,0.0000000010
4,20,200,0.0000100,0.0000000100
4,20,200,0.0000100,0.0000001000
4,20,200,0.0001000,0.0000000001
4,20,200,0.0001000,0.0000000010
4,20,200,0.0001000,0.0000000100
4,20,200,0.0001000,0.0000001000
8,1,25,0.0000001,0.0000000001
